mass_accuracy_diff,rank_accuracy_diff,in_mask_mass_accuracy,in_mask_rank_accuracy,out_mask_mass_accuracy,out_mask_rank_accuracy,model,xai_method,pretraining,label
0.026500000000000024,0.03269999999999998,0.1763,0.2357,0.1498,0.203,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.2224,-0.2948,0.1099,0.1168,0.3323,0.4116,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.1997,0.25160000000000005,0.215,0.2876,0.0153,0.036,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.1431,0.12870000000000004,0.3221,0.2906,0.179,0.1619,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.1439,0.1717,0.3181,0.3559,0.1742,0.1842,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.1124,0.018699999999999994,0.1797,0.12,0.0673,0.1013,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.13770000000000002,0.11190000000000003,0.2948,0.3178,0.1571,0.2059,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.05590000000000006,0.028400000000000036,0.5459,0.5169,0.49,0.4885,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.05429999999999999,-0.0464,0.1553,0.1484,0.101,0.1948,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.0393,0.02529999999999999,0.4611,0.5316,0.4218,0.5063,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.16140000000000002,-0.028000000000000025,0.3093,0.3045,0.1479,0.3325,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.1083,-0.1519,0.0737,0.0454,0.182,0.1973,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.11680000000000001,0.001600000000000018,0.1543,0.1602,0.2711,0.1586,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.28340000000000004,0.0232,0.7606,0.3573,0.4772,0.3341,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.0895,0.2886,0.1425,0.3743,0.053,0.0857,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.007900000000000004,-0.14,0.0717,0.0977,0.0796,0.2377,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.14379999999999998,0.12020000000000003,0.4206,0.45,0.2768,0.3298,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.06989999999999999,0.12179999999999999,0.118,0.2224,0.0481,0.1006,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.304,0.1862,0.3973,0.3786,0.0933,0.1924,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.03539999999999999,-0.04039999999999999,0.3545,0.3306,0.3191,0.371,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.6792,0.04250000000000001,0.0664,0.2696,0.7456,0.2271,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.06820000000000001,0.0784,0.1223,0.2405,0.0541,0.1621,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.022499999999999992,0.0534,0.2102,0.3988,0.1877,0.3454,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.008899999999999998,0.1829,0.0517,0.3189,0.0606,0.136,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.011800000000000005,-0.018600000000000033,0.0973,0.2428,0.1091,0.2614,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.008900000000000005,-0.019199999999999995,0.1014,0.1388,0.0925,0.158,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.1714,0.2706,0.0483,0.375,0.2197,0.1044,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.21450000000000002,0.1805,0.3148,0.2445,0.1003,0.064,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
-0.138,-0.03689999999999993,0.406,0.5491,0.544,0.586,densenet,lrp,from_scratch,Enlarged Cardiomediastinum
0.19380000000000003,0.0484,0.3018,0.1722,0.108,0.1238,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.021200000000000004,-0.007499999999999993,0.0444,0.0805,0.0656,0.088,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.017199999999999997,0.030299999999999994,0.0181,0.0831,0.0353,0.0528,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.0632,0.01680000000000001,0.0271,0.2223,0.0903,0.2055,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.020800000000000013,0.024800000000000016,0.2025,0.2509,0.1817,0.2261,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.04920000000000001,0.025300000000000017,0.1408,0.1882,0.0916,0.1629,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.1778,0.0973,0.3034,0.2381,0.1256,0.1408,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.06929999999999999,0.0744,0.1536,0.2041,0.0843,0.1297,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.09740000000000001,-0.029500000000000012,0.1487,0.1209,0.2461,0.1504,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.0712,0.001799999999999996,0.1935,0.2198,0.1223,0.218,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.092,0.03109999999999999,0.1299,0.1984,0.2219,0.1673,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.0009000000000000119,-0.0305,0.1522,0.144,0.1513,0.1745,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.14470000000000002,0.0014000000000000123,0.1637,0.1739,0.019,0.1725,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.0232,0.05800000000000001,0.112,0.1645,0.0888,0.1065,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.15289999999999998,-0.056900000000000006,0.0478,0.1036,0.2007,0.1605,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.13369999999999999,0.1153,0.1581,0.1951,0.0244,0.0798,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.1587,0.03199999999999999,0.2334,0.1566,0.0747,0.1246,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.062200000000000005,0.1058,0.224,0.2797,0.1618,0.1739,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.0417,-0.1563,0.068,0.1102,0.1097,0.2665,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.06299999999999999,0.1003,0.1614,0.2464,0.0984,0.1461,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.1652,0.044899999999999995,0.2316,0.2853,0.0664,0.2404,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.0838,0.09459999999999999,0.1543,0.2462,0.0705,0.1516,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.043800000000000006,0.08560000000000001,0.1592,0.233,0.203,0.1474,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.032299999999999995,0.032100000000000004,0.051,0.0645,0.0187,0.0324,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.08430000000000001,-0.02770000000000003,0.2436,0.2337,0.3279,0.2614,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.2744,0.021599999999999953,0.3812,0.286,0.1068,0.2644,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.0264,0.0368,0.0569,0.1654,0.0305,0.1286,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.5181,0.12010000000000004,0.6091,0.2931,0.091,0.173,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.11410000000000001,-0.027600000000000013,0.0578,0.1664,0.1719,0.194,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.14659999999999998,0.038099999999999995,0.1641,0.2753,0.3107,0.2372,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.185,0.022899999999999976,0.0736,0.1934,0.2586,0.1705,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.2475,0.01579999999999998,0.3084,0.1473,0.0609,0.1315,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.10570000000000002,0.004500000000000004,0.1355,0.2337,0.0298,0.2292,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.8731,-0.002799999999999997,0.9076,0.1516,0.0345,0.1544,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.10300000000000001,0.009099999999999997,0.1357,0.1641,0.2387,0.155,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.009300000000000003,-0.031799999999999995,0.0283,0.0528,0.0376,0.0846,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.11099999999999999,0.038199999999999984,0.29,0.2448,0.179,0.2066,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.1521,0.08180000000000001,0.2414,0.2358,0.0893,0.154,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.019599999999999992,-0.009500000000000008,0.0771,0.1103,0.0967,0.1198,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.19310000000000005,0.0014000000000000123,0.286,0.2738,0.4791,0.2724,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.021500000000000005,-0.020899999999999988,0.0659,0.1029,0.0874,0.1238,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.037899999999999996,0.05299999999999999,0.0566,0.1175,0.0187,0.0645,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.09840000000000002,0.08080000000000001,0.2528,0.247,0.1544,0.1662,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.04899999999999999,0.026999999999999996,0.1614,0.1281,0.1124,0.1011,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.07709999999999999,0.04849999999999999,0.1803,0.1908,0.1032,0.1423,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.2291,-0.0007999999999999952,0.1242,0.1591,0.3533,0.1599,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.0457,-0.0518,0.0419,0.0691,0.0876,0.1209,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.1542,-0.009199999999999986,0.3559,0.2756,0.2017,0.2848,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.045399999999999996,0.05160000000000001,0.0794,0.2243,0.1248,0.1727,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.03639999999999999,0.008800000000000002,0.1961,0.1903,0.1597,0.1815,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.0022000000000000075,-0.005999999999999978,0.156,0.2015,0.1582,0.2075,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.0484,0.10419999999999999,0.1339,0.2279,0.1823,0.1237,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.0022999999999999965,0.021400000000000002,0.1904,0.2005,0.1927,0.1791,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.021400000000000002,0.009800000000000003,0.0838,0.1457,0.1052,0.1359,vit,lrp,from_scratch,Enlarged Cardiomediastinum
-0.0025000000000000022,0.030899999999999983,0.1037,0.1659,0.1062,0.135,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.0295,0.023400000000000004,0.1905,0.1879,0.161,0.1645,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.0567,0.003700000000000009,0.1477,0.1302,0.091,0.1265,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.05030000000000001,0.027199999999999988,0.1501,0.1324,0.0998,0.1052,vit,lrp,from_scratch,Enlarged Cardiomediastinum
0.011300000000000004,0.07620000000000002,0.171,0.2194,0.1597,0.1432,vit,lrp,from_scratch,Enlarged Cardiomediastinum
